year,award,caucasianAmerican,movie,image
1987,Actress in a Leading Role,Holly Hunter,Broadcast News,https://kaway169.github.io/ci19/studio/collection/images/hollyhunter.jpg
1987,Actress in a Leading Role,Meryl Streep,Ironweed,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1988,Actress in a Leading Role,Glenn Close,Dangerous Liaisons,https://kaway169.github.io/ci19/studio/collection/images/glennclose.jpg
1988,Actress in a Leading Role,Meryl Streep,A Cry in the Dark,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1989,Actress in a Leading Role,Jessica Lange,Music Box,https://kaway169.github.io/ci19/studio/collection/images/jessicalange.jpg
1990,Actress in a Leading Role,Julia Roberts,Pretty Woman,https://kaway169.github.io/ci19/studio/collection/images/juliaroberts.jpg
1990,Actress in a Leading Role,Meryl Streep,Postcards from the Edge,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1991,Actress in a Leading Role,Laura Dern,Rambling Rose,https://kaway169.github.io/ci19/studio/collection/images/lauradern.jpg
1991,Actress in a Leading Role,Susan Sarandon,Thelma & Louise,https://kaway169.github.io/ci19/studio/collection/images/susansarandon.jpg
1992,Actress in a Leading Role,Susan Sarandon,Lorenzo's Oil,https://kaway169.github.io/ci19/studio/collection/images/susansarandon.jpg
1993,Actress in a Leading Role,Holly Hunter,The Piano,https://kaway169.github.io/ci19/studio/collection/images/hollyhunter.jpg
1993,Actress in a Leading Role,Stockard Channing,Six Degrees of Separation,https://kaway169.github.io/ci19/studio/collection/images/stockardchanning.jpg
1994,Actress in a Leading Role,Jessica Lange,Blue Sky,https://kaway169.github.io/ci19/studio/collection/images/jessicalange.jpg
1994,Actress in a Leading Role,Susan Sarandon,The Client,https://kaway169.github.io/ci19/studio/collection/images/susansarandon.jpg
1995,Actress in a Leading Role,Susan Sarandon,Dead Man Walking,https://kaway169.github.io/ci19/studio/collection/images/susansarandon.jpg
1995,Actress in a Leading Role,Sharon Stone,Casino,https://kaway169.github.io/ci19/studio/collection/images/sharonstone.jpg
1995,Actress in a Leading Role,Meryl Streep,The Bridges of Madison County,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1996,Actress in a Leading Role,Diane Keaton,Marvin's Room,https://kaway169.github.io/ci19/studio/collection/images/dianekeaton.jpg
1997,Actress in a Leading Role,Helen Hunt,As Good as It Gets,https://kaway169.github.io/ci19/studio/collection/images/helenhunt.jpg
1998,Actress in a Leading Role,Gwyneth Paltrow,Shakespeare in Love,https://kaway169.github.io/ci19/studio/collection/images/gwynethpaltrow.jpg
1998,Actress in a Leading Role,Meryl Streep,One True Thing,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1999,Actress in a Leading Role,Annette Bening,American Beauty,https://kaway169.github.io/ci19/studio/collection/images/annettebening.jpg
1999,Actress in a Leading Role,Julianne Moore,The End of the Affair,https://kaway169.github.io/ci19/studio/collection/images/juliannemoore.jpg
1999,Actress in a Leading Role,Meryl Streep,Music of the Heart,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2000,Actress in a Leading Role,Julia Roberts,Erin Brockovich,https://kaway169.github.io/ci19/studio/collection/images/juliaroberts.jpg
2000,Actress in a Leading Role,Joan Allen,The Contender,https://kaway169.github.io/ci19/studio/collection/images/joanallen.jpg
2001,Actress in a Leading Role,Sissy Spacek,In the Bedroom,https://kaway169.github.io/ci19/studio/collection/images/sissyspacek.jpg
2002,Actress in a Leading Role,Julianne Moore,Far from Heaven,https://kaway169.github.io/ci19/studio/collection/images/juliannemoore.jpg
2003,Actress in a Leading Role,Diane Keaton,Something's Gotta Give,https://kaway169.github.io/ci19/studio/collection/images/dianekeaton.jpg
2004,Actress in a Leading Role,Annette Bening,Being Julia,https://kaway169.github.io/ci19/studio/collection/images/annettebening.jpg
2005,Actress in a Leading Role,Reese Witherspoon,Walk the Line,https://kaway169.github.io/ci19/studio/collection/images/reesewitherspoon.jpg
2006,Actress in a Leading Role,Meryl Streep,The Devil Wears Prada,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2008,Actress in a Leading Role,Anne Hathaway,Rachel Getting Married,https://kaway169.github.io/ci19/studio/collection/images/annehathaway.jpg
2008,Actress in a Leading Role,Angelina Jolie,Changeling,https://kaway169.github.io/ci19/studio/collection/images/angelinajolie.jpg
2008,Actress in a Leading Role,Melissa Leo,Frozen River,https://kaway169.github.io/ci19/studio/collection/images/melissaleo.jpg
2008,Actress in a Leading Role,Meryl Streep,Doubt,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2009,Actress in a Leading Role,Sandra Bullock,The Blind Side,https://kaway169.github.io/ci19/studio/collection/images/sandrabullock.jpg
2009,Actress in a Leading Role,Meryl Streep,Julie & Julia,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2010,Actress in a Leading Role,Natalie Portman,Black Swan,https://kaway169.github.io/ci19/studio/collection/images/natalieportman.jpg
2010,Actress in a Leading Role,Annette Bening,The Kids Are All Right,https://kaway169.github.io/ci19/studio/collection/images/annettebening.jpg
2010,Actress in a Leading Role,Jennifer Lawrence,Winter's Bone,https://kaway169.github.io/ci19/studio/collection/images/jenniferlawrence.gif
2010,Actress in a Leading Role,Michelle Williams,Blue Valentine,https://kaway169.github.io/ci19/studio/collection/images/michellewilliams.gif
2011,Actress in a Leading Role,Meryl Streep,The Iron Lady,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2011,Actress in a Leading Role,Glenn Close,Albert Nobbs,https://kaway169.github.io/ci19/studio/collection/images/glennclose.jpg
2011,Actress in a Leading Role,Rooney Mara,The Girl with the Dragon Tattoo,https://kaway169.github.io/ci19/studio/collection/images/rooneymara.jpg
2011,Actress in a Leading Role,Michelle Williams,My Week with Marilyn,https://kaway169.github.io/ci19/studio/collection/images/michellewilliams.gif
2012,Actress in a Leading Role,Jennifer Lawrence,Silver Linings Playbook,https://kaway169.github.io/ci19/studio/collection/images/jenniferlawrence.gif
2012,Actress in a Leading Role,Jessica Chastain,Zero Dark Thirty,https://kaway169.github.io/ci19/studio/collection/images/jessicachastain.jpg
2013,Actress in a Leading Role,Amy Adams,American Hustle,https://kaway169.github.io/ci19/studio/collection/images/amyadams.gif
2013,Actress in a Leading Role,Sandra Bullock,Gravity,https://kaway169.github.io/ci19/studio/collection/images/sandrabullock.jpg
2013,Actress in a Leading Role,Meryl Streep,August: Osage County,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2014,Actress in a Leading Role,Julianne Moore,Still Alice,https://kaway169.github.io/ci19/studio/collection/images/juliannemoore.jpg
2014,Actress in a Leading Role,Reese Witherspoon,Wild,https://kaway169.github.io/ci19/studio/collection/images/reesewitherspoon.jpg
2015,Actress in a Leading Role,Brie Larson,Room,https://kaway169.github.io/ci19/studio/collection/images/brielarson.jpg
2015,Actress in a Leading Role,Jennifer Lawrence,Joy,https://kaway169.github.io/ci19/studio/collection/images/jenniferlawrence.gif
2016,Actress in a Leading Role,Emma Stone,La La Land,https://kaway169.github.io/ci19/studio/collection/images/emmastone.gif
2016,Actress in a Leading Role,Natalie Portman,Jackie,https://kaway169.github.io/ci19/studio/collection/images/natalieportman.jpg
2016,Actress in a Leading Role,Meryl Streep,Florence Foster Jenkins,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2017,Actress in a Leading Role,Frances McDormand,Three Billboards Outside Ebbing Missouri,https://kaway169.github.io/ci19/studio/collection/images/francesmcdormand.jpg
2017,Actress in a Leading Role,Meryl Streep,The Post,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2018,Actress in a Leading Role,Glenn Close,The Wife,https://kaway169.github.io/ci19/studio/collection/images/glennclose.jpg
2018,Actress in a Leading Role,Lady Gaga,A Star Is Born,https://kaway169.github.io/ci19/studio/collection/images/ladygaga.jpeg
2018,Actress in a Leading Role,Melissa McCarthy,Can You Ever Forgive Me?,https://kaway169.github.io/ci19/studio/collection/images/melissamccarthy.jpg
1936,Actor in a Supporting Role,Walter Brennan,Come and Get It,https://kaway169.github.io/ci19/studio/collection/images/walterbrennan.jpg
1937,Actor in a Supporting Role,Ralph Bellamy,The Awful Truth,https://kaway169.github.io/ci19/studio/collection/images/ralphbellamy.jpg
1938,Actor in a Supporting Role,Walter Brennan,Kentucky,https://kaway169.github.io/ci19/studio/collection/images/walterbrennan.jpg
1938,Actor in a Supporting Role,John Garfield,Four Daughters,https://kaway169.github.io/ci19/studio/collection/images/johngarfield.jpeg
1939,Actor in a Supporting Role,Harry Carey,Mr. Smith Goes to Washington,https://kaway169.github.io/ci19/studio/collection/images/harrycarey.jpg
1940,Actor in a Supporting Role,Walter Brennan,The Westerner,https://kaway169.github.io/ci19/studio/collection/images/walterbrennan.jpg
1941,Actor in a Supporting Role,Walter Brennan,Sergeant York,https://kaway169.github.io/ci19/studio/collection/images/walterbrennan.jpg
1942,Actor in a Supporting Role,Frank Morgan,Tortilla Flat,https://kaway169.github.io/ci19/studio/collection/images/frankmorgan.gif
1943,Actor in a Supporting Role,Charles Bickford,The Song of Bernadette,https://kaway169.github.io/ci19/studio/collection/images/charlesbickford.jpg
1944,Actor in a Supporting Role,Clifton Webb,Laura,https://kaway169.github.io/ci19/studio/collection/images/cliftonwebb.jpg
1944,Actor in a Supporting Role,Monty Woolley,Since You Went Away,https://kaway169.github.io/ci19/studio/collection/images/montywoolley.gif
1946,Actor in a Supporting Role,Clifton Webb,The Razor's Edge,https://kaway169.github.io/ci19/studio/collection/images/cliftonwebb.jpg
1947,Actor in a Supporting Role,Charles Bickford,The Farmer's Daughter,https://kaway169.github.io/ci19/studio/collection/images/charlesbickford.jpg
1948,Actor in a Supporting Role,Charles Bickford,Johnny Belinda,https://kaway169.github.io/ci19/studio/collection/images/charlesbickford.jpg
1949,Actor in a Supporting Role,Arthur Kennedy,Champion,https://kaway169.github.io/ci19/studio/collection/images/arthurkennedy.jpg
1949,Actor in a Supporting Role,James Whitmore,Battleground,https://kaway169.github.io/ci19/studio/collection/images/jameswhitmore.jpg
1951,Actor in a Supporting Role,Karl Malden,A Streetcar Named Desire,https://kaway169.github.io/ci19/studio/collection/images/karlmalden.jpg
1951,Actor in a Supporting Role,Kevin McCarthy,Death of a Salesman,https://kaway169.github.io/ci19/studio/collection/images/kevinmccarthy.jpeg
1953,Actor in a Supporting Role,Frank Sinatra,From Here to Eternity,https://kaway169.github.io/ci19/studio/collection/images/franksinatra.gif
1953,Actor in a Supporting Role,Brandon deWilde,Shane,https://kaway169.github.io/ci19/studio/collection/images/brandondewilde.jpg
1953,Actor in a Supporting Role,Robert Strauss,Stalag 17,https://kaway169.github.io/ci19/studio/collection/images/robertstrauss.jpg
1954,Actor in a Supporting Role,Karl Malden,On the Waterfront,https://kaway169.github.io/ci19/studio/collection/images/karlmalden.jpg
1954,Actor in a Supporting Role,Rod Steiger,On the Waterfront,https://kaway169.github.io/ci19/studio/collection/images/rodsteiger.gif
1955,Actor in a Supporting Role,Jack Lemmon,Mister Roberts,https://kaway169.github.io/ci19/studio/collection/images/jacklemmon.gif
1955,Actor in a Supporting Role,Arthur Kennedy,Trial,https://kaway169.github.io/ci19/studio/collection/images/arthurkennedy.jpg
1955,Actor in a Supporting Role,Arthur O'Connell,Picnic,https://kaway169.github.io/ci19/studio/collection/images/arthuroconnell.jpg
1956,Actor in a Supporting Role,Mickey Rooney,The Bold and the Brave,https://kaway169.github.io/ci19/studio/collection/images/mickeyrooney.gif
1957,Actor in a Supporting Role,Arthur Kennedy,Peyton Place,https://kaway169.github.io/ci19/studio/collection/images/arthurkennedy.jpg
1958,Actor in a Supporting Role,Arthur Kennedy,Some Came Running,https://kaway169.github.io/ci19/studio/collection/images/arthurkennedy.jpg
1959,Actor in a Supporting Role,Arthur O'Connell,Anatomy of a Murder,https://kaway169.github.io/ci19/studio/collection/images/arthuroconnell.jpg
1959,Actor in a Supporting Role,George C. Scott,Anatomy of a Murder,https://kaway169.github.io/ci19/studio/collection/images/georgecscott.jpg
1959,Actor in a Supporting Role,Ed Wynn,The Diary of Anne Frank,https://kaway169.github.io/ci19/studio/collection/images/edwynn.jpg
1960,Actor in a Supporting Role,Chill Wills,The Alamo,https://kaway169.github.io/ci19/studio/collection/images/chillwills.jpg
1961,Actor in a Supporting Role,Montgomery Clift,Judgment at Nuremberg,https://kaway169.github.io/ci19/studio/collection/images/montgomeryclift.gif
1961,Actor in a Supporting Role,George C. Scott,The Hustler,https://kaway169.github.io/ci19/studio/collection/images/georgecscott.jpg
1963,Actor in a Supporting Role,Melvyn Douglas,Hud,https://kaway169.github.io/ci19/studio/collection/images/melvyndouglas.jpg
1966,Actor in a Supporting Role,Walter Matthau,The Fortune Cookie,https://kaway169.github.io/ci19/studio/collection/images/waltermatthau.jpg
1967,Actor in a Supporting Role,Michael J. Pollard,Bonnie and Clyde,https://kaway169.github.io/ci19/studio/collection/images/michaeljpollard.jpg
1969,Actor in a Supporting Role,Jack Nicholson,Easy Rider,https://kaway169.github.io/ci19/studio/collection/images/jacknicholson.jpg
1970,Actor in a Supporting Role,John Marley,Love Story,https://kaway169.github.io/ci19/studio/collection/images/johnmarley.jpg
1971,Actor in a Supporting Role,Jeff Bridges,The Last Picture Show,https://kaway169.github.io/ci19/studio/collection/images/jeffbridges.jpg
1971,Actor in a Supporting Role,Roy Scheider,The French Connection,https://kaway169.github.io/ci19/studio/collection/images/royscheider.jpg
1972,Actor in a Supporting Role,Al Pacino,The Godfather,https://kaway169.github.io/ci19/studio/collection/images/alpacino.jpg
1974,Actor in a Supporting Role,Jeff Bridges,Thunderbolt and Lightfoot,https://kaway169.github.io/ci19/studio/collection/images/jeffbridges.jpg
1978,Actor in a Supporting Role,Richard Farnsworth,Comes a Horseman,https://kaway169.github.io/ci19/studio/collection/images/richardfarnsworth.jpg
1979,Actor in a Supporting Role,Melvyn Douglas,Being There,https://kaway169.github.io/ci19/studio/collection/images/melvyndouglas.jpg
1979,Actor in a Supporting Role,Mickey Rooney,The Black Stallion,https://kaway169.github.io/ci19/studio/collection/images/mickeyrooney.gif
1981,Actor in a Supporting Role,Jack Nicholson,Reds,https://kaway169.github.io/ci19/studio/collection/images/jacknicholson.jpg
1983,Actor in a Supporting Role,Jack Nicholson,Terms of Endearment,https://kaway169.github.io/ci19/studio/collection/images/jacknicholson.jpg
1986,Actor in a Supporting Role,Willem Dafoe,Platoon,https://kaway169.github.io/ci19/studio/collection/images/willemdafoe.jpg
1989,Actor in a Supporting Role,Marlon Brando,A Dry White Season,https://kaway169.github.io/ci19/studio/collection/images/marlonbrando.gif
1990,Actor in a Supporting Role,Al Pacino,Dick Tracy,https://kaway169.github.io/ci19/studio/collection/images/alpacino.jpg
1991,Actor in a Supporting Role,Tommy Lee Jones,JFK,https://kaway169.github.io/ci19/studio/collection/images/tommyleejones.jpg
1992,Actor in a Supporting Role,Jack Nicholson,A Few Good Men,https://kaway169.github.io/ci19/studio/collection/images/jacknicholson.jpg
1992,Actor in a Supporting Role,Al Pacino,Glengarry Glen Ross,https://kaway169.github.io/ci19/studio/collection/images/alpacino.jpg
1993,Actor in a Supporting Role,Tommy Lee Jones,The Fugitive,https://kaway169.github.io/ci19/studio/collection/images/tommyleejones.jpg
1993,Actor in a Supporting Role,Leonardo DiCaprio,What's Eating Gilbert Grape,https://kaway169.github.io/ci19/studio/collection/images/leonardodicaprio.gif
1995,Actor in a Supporting Role,Brad Pitt,12 Monkeys,https://kaway169.github.io/ci19/studio/collection/images/bradpitt.jpg
1999,Actor in a Supporting Role,Tom Cruise,Magnolia,https://kaway169.github.io/ci19/studio/collection/images/tomcruise.jpg
2000,Actor in a Supporting Role,Jeff Bridges,The Contender,https://kaway169.github.io/ci19/studio/collection/images/jeffbridges.jpg
2000,Actor in a Supporting Role,Willem Dafoe,Shadow of the Vampire,https://kaway169.github.io/ci19/studio/collection/images/willemdafoe.jpg
2001,Actor in a Supporting Role,Jon Voight,Ali,https://kaway169.github.io/ci19/studio/collection/images/jonvoight.gif
2002,Actor in a Supporting Role,Paul Newman,Road to Perdition,https://kaway169.github.io/ci19/studio/collection/images/paulnewman.gif
2005,Actor in a Supporting Role,George Clooney,Syriana,https://kaway169.github.io/ci19/studio/collection/images/georgeclooney.jpg
2005,Actor in a Supporting Role,William Hurt,A History of Violence,https://kaway169.github.io/ci19/studio/collection/images/williamhurt.jpg
2006,Actor in a Supporting Role,Alan Arkin,Little Miss Sunshine,https://kaway169.github.io/ci19/studio/collection/images/alanarkin.gif
2008,Actor in a Supporting Role,Robert Downey Jr.,Tropic Thunder,https://kaway169.github.io/ci19/studio/collection/images/robertdowneyjr.png
2009,Actor in a Supporting Role,Matt Damon,Invictus,https://kaway169.github.io/ci19/studio/collection/images/mattdamon.jpg
2010,Actor in a Supporting Role,Mark Ruffalo,The Kids Are All Right,https://kaway169.github.io/ci19/studio/collection/images/markruffalo.jpg
2012,Actor in a Supporting Role,Alan Arkin,Argo,https://kaway169.github.io/ci19/studio/collection/images/alanarkin.gif
2012,Actor in a Supporting Role,Tommy Lee Jones,Lincoln,https://kaway169.github.io/ci19/studio/collection/images/tommyleejones.jpg
2013,Actor in a Supporting Role,Bradley Cooper,American Hustle,https://kaway169.github.io/ci19/studio/collection/images/bradleycooper.jpg
2014,Actor in a Supporting Role,Mark Ruffalo,Foxcatcher,https://kaway169.github.io/ci19/studio/collection/images/markruffalo.jpg
2015,Actor in a Supporting Role,Mark Ruffalo,Spotlight,https://kaway169.github.io/ci19/studio/collection/images/markruffalo.jpg
2016,Actor in a Supporting Role,Jeff Bridges,Hell or High Water,https://kaway169.github.io/ci19/studio/collection/images/jeffbridges.jpg
2017,Actor in a Supporting Role,Willem Dafoe,The Florida Project,https://kaway169.github.io/ci19/studio/collection/images/willemdafoe.jpg
2017,Actor in a Supporting Role,Richard Jenkins,The Shape of Water,https://kaway169.github.io/ci19/studio/collection/images/richardjenkins.jpg
1936,Actress in a Supporting Role,Alice Brady,My Man Godfrey,https://kaway169.github.io/ci19/studio/collection/images/alicebrady.jpg
1937,Actress in a Supporting Role,Alice Brady,In Old Chicago,https://kaway169.github.io/ci19/studio/collection/images/alicebrady.jpg
1937,Actress in a Supporting Role,Claire Trevor,Dead End,https://kaway169.github.io/ci19/studio/collection/images/clairetrevor.jpg
1939,Actress in a Supporting Role,Edna May Oliver,Drums Along the Mohawk,https://kaway169.github.io/ci19/studio/collection/images/ednamayoliver.jpg
1940,Actress in a Supporting Role,Ruth Hussey,The Philadelphia Story,https://kaway169.github.io/ci19/studio/collection/images/ruthhussey.jpg
1941,Actress in a Supporting Role,Teresa Wright,The Little Foxes,https://kaway169.github.io/ci19/studio/collection/images/teresawright.jpg
1941,Actress in a Supporting Role,Mary Astor,The Great Lie,https://kaway169.github.io/ci19/studio/collection/images/maryastor.jpg
1942,Actress in a Supporting Role,Teresa Wright,Mrs. Miniver,https://kaway169.github.io/ci19/studio/collection/images/teresawright.jpg
1943,Actress in a Supporting Role,Anne Revere,The Song of Bernadette,https://kaway169.github.io/ci19/studio/collection/images/annerevere.jpg
1944,Actress in a Supporting Role,Ethel Barrymore,None but the Lonely Heart,https://kaway169.github.io/ci19/studio/collection/images/ethelbarrymore.jpg
1944,Actress in a Supporting Role,Jennifer Jones,Since You Went Away,https://kaway169.github.io/ci19/studio/collection/images/jenniferjones.jpg
1945,Actress in a Supporting Role,Anne Revere,National Velvet,https://kaway169.github.io/ci19/studio/collection/images/annerevere.jpg
1946,Actress in a Supporting Role,Ethel Barrymore,The Spiral Staircase,https://kaway169.github.io/ci19/studio/collection/images/ethelbarrymore.jpg
1947,Actress in a Supporting Role,Ethel Barrymore,The Paradine Case,https://kaway169.github.io/ci19/studio/collection/images/ethelbarrymore.jpg
1947,Actress in a Supporting Role,Gloria Grahame,Crossfire,https://kaway169.github.io/ci19/studio/collection/images/gloriagrahame.jpg
1947,Actress in a Supporting Role,Anne Revere,Gentleman's Agreement,https://kaway169.github.io/ci19/studio/collection/images/annerevere.jpg
1948,Actress in a Supporting Role,Claire Trevor,Key Largo,https://kaway169.github.io/ci19/studio/collection/images/clairetrevor.jpg
1949,Actress in a Supporting Role,Ethel Barrymore,Pinky,https://kaway169.github.io/ci19/studio/collection/images/ethelbarrymore.jpg
1950,Actress in a Supporting Role,Nancy Olson,Sunset Boulevard,https://kaway169.github.io/ci19/studio/collection/images/nancyolson.jpg
1952,Actress in a Supporting Role,Gloria Grahame,The Bad and the Beautiful,https://kaway169.github.io/ci19/studio/collection/images/gloriagrahame.jpg
1954,Actress in a Supporting Role,Claire Trevor,The High and the Mighty,https://kaway169.github.io/ci19/studio/collection/images/clairetrevor.jpg
1955,Actress in a Supporting Role,Natalie Wood,Rebel Without a Cause,https://kaway169.github.io/ci19/studio/collection/images/nataliewood.jpg
1956,Actress in a Supporting Role,Patty McCormack,The Bad Seed,https://kaway169.github.io/ci19/studio/collection/images/pattymccormack.jpg
1960,Actress in a Supporting Role,Shirley Knight,The Dark at the Top of the Stairs,https://kaway169.github.io/ci19/studio/collection/images/shirleyknight.jpg
1962,Actress in a Supporting Role,Shirley Knight,Sweet Bird of Youth,https://kaway169.github.io/ci19/studio/collection/images/shirleyknight.jpg
1965,Actress in a Supporting Role,Ruth Gordon,Inside Daisy Clover,https://kaway169.github.io/ci19/studio/collection/images/ruthgordon.jpg
1966,Actress in a Supporting Role,Sandy Dennis,Who's Afraid of Virginia Woolf?,https://kaway169.github.io/ci19/studio/collection/images/sandydennis.jpeg
1967,Actress in a Supporting Role,Estelle Parsons,Bonnie and Clyde,https://kaway169.github.io/ci19/studio/collection/images/estelleparsons.jpg
1967,Actress in a Supporting Role,Carol Channing,Thoroughly Modern Millie,https://kaway169.github.io/ci19/studio/collection/images/carolchanning.jpg
1968,Actress in a Supporting Role,Ruth Gordon,Rosemary's Baby,https://kaway169.github.io/ci19/studio/collection/images/ruthgordon.jpg
1968,Actress in a Supporting Role,Estelle Parsons,Rachel Rachel,https://kaway169.github.io/ci19/studio/collection/images/estelleparsons.jpg
1974,Actress in a Supporting Role,Diane Ladd,Alice Doesn't Live Here Anymore,https://kaway169.github.io/ci19/studio/collection/images/dianeladd.jpg
1976,Actress in a Supporting Role,Piper Laurie,Carrie,https://kaway169.github.io/ci19/studio/collection/images/piperlaurie.jpg
1977,Actress in a Supporting Role,Melinda Dillon,Close Encounters of the Third Kind,https://kaway169.github.io/ci19/studio/collection/images/melindadillon.jpg
1978,Actress in a Supporting Role,Meryl Streep,The Deer Hunter,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1979,Actress in a Supporting Role,Meryl Streep,Kramer vs. Kramer,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
1980,Actress in a Supporting Role,Mary Steenburgen,Melvin and Howard,https://kaway169.github.io/ci19/studio/collection/images/marysteenburgen.jpg
1980,Actress in a Supporting Role,Eileen Brennan,Private Benjamin,https://kaway169.github.io/ci19/studio/collection/images/eileenbrennan.png
1980,Actress in a Supporting Role,Cathy Moriarty,Raging Bull,https://kaway169.github.io/ci19/studio/collection/images/cathymoriarty.jpg
1981,Actress in a Supporting Role,Melinda Dillon,Absence of Malice,https://kaway169.github.io/ci19/studio/collection/images/melindadillon.jpg
1981,Actress in a Supporting Role,Elizabeth McGovern,Ragtime,https://kaway169.github.io/ci19/studio/collection/images/elizabethmcgovern.jpg
1982,Actress in a Supporting Role,Jessica Lange,Tootsie,https://kaway169.github.io/ci19/studio/collection/images/jessicalange.jpg
1982,Actress in a Supporting Role,Glenn Close,The World According to Garp,https://kaway169.github.io/ci19/studio/collection/images/glennclose.jpg
1982,Actress in a Supporting Role,Kim Stanley,Frances,https://kaway169.github.io/ci19/studio/collection/images/kimstanley.jpg
1983,Actress in a Supporting Role,Cher,Silkwood,https://kaway169.github.io/ci19/studio/collection/images/cher.jpg
1983,Actress in a Supporting Role,Glenn Close,The Big Chill,https://kaway169.github.io/ci19/studio/collection/images/glennclose.jpg
1984,Actress in a Supporting Role,Glenn Close,The Natural,https://kaway169.github.io/ci19/studio/collection/images/glennclose.jpg
1986,Actress in a Supporting Role,Dianne Wiest,Hannah and Her Sisters,https://kaway169.github.io/ci19/studio/collection/images/diannewiest.jpg
1986,Actress in a Supporting Role,Piper Laurie,Children of a Lesser God,https://kaway169.github.io/ci19/studio/collection/images/piperlaurie.jpg
1989,Actress in a Supporting Role,Julia Roberts,Steel Magnolias,https://kaway169.github.io/ci19/studio/collection/images/juliaroberts.jpg
1989,Actress in a Supporting Role,Dianne Wiest,Parenthood,https://kaway169.github.io/ci19/studio/collection/images/diannewiest.jpg
1990,Actress in a Supporting Role,Annette Bening,The Grifters,https://kaway169.github.io/ci19/studio/collection/images/annettebening.jpg
1990,Actress in a Supporting Role,Diane Ladd,Wild at Heart,https://kaway169.github.io/ci19/studio/collection/images/dianeladd.jpg
1991,Actress in a Supporting Role,Diane Ladd,Rambling Rose,https://kaway169.github.io/ci19/studio/collection/images/dianeladd.jpg
1993,Actress in a Supporting Role,Holly Hunter,The Firm,https://kaway169.github.io/ci19/studio/collection/images/hollyhunter.jpg
1994,Actress in a Supporting Role,Dianne Wiest,Bullets over Broadway,https://kaway169.github.io/ci19/studio/collection/images/diannewiest.jpg
1995,Actress in a Supporting Role,Joan Allen,Nixon,https://kaway169.github.io/ci19/studio/collection/images/joanallen.jpg
1996,Actress in a Supporting Role,Joan Allen,The Crucible,https://kaway169.github.io/ci19/studio/collection/images/joanallen.jpg
1997,Actress in a Supporting Role,Julianne Moore,Boogie Nights,https://kaway169.github.io/ci19/studio/collection/images/juliannemoore.jpg
1999,Actress in a Supporting Role,Angelina Jolie,Girl Interrupted,https://kaway169.github.io/ci19/studio/collection/images/angelinajolie.jpg
2000,Actress in a Supporting Role,Frances McDormand,Almost Famous,https://kaway169.github.io/ci19/studio/collection/images/francesmcdormand.jpg
2002,Actress in a Supporting Role,Julianne Moore,The Hours,https://kaway169.github.io/ci19/studio/collection/images/juliannemoore.jpg
2002,Actress in a Supporting Role,Meryl Streep,Adaptation,https://kaway169.github.io/ci19/studio/collection/images/merylstreep.gif
2003,Actress in a Supporting Role,Holly Hunter,Thirteen,https://kaway169.github.io/ci19/studio/collection/images/hollyhunter.jpg
2004,Actress in a Supporting Role,Natalie Portman,Closer,https://kaway169.github.io/ci19/studio/collection/images/natalieportman.jpg
2005,Actress in a Supporting Role,Amy Adams,Junebug,https://kaway169.github.io/ci19/studio/collection/images/amyadams.gif
2005,Actress in a Supporting Role,Frances McDormand,North Country,https://kaway169.github.io/ci19/studio/collection/images/francesmcdormand.jpg
2005,Actress in a Supporting Role,Michelle Williams,Brokeback Mountain,https://kaway169.github.io/ci19/studio/collection/images/michellewilliams.gif
2008,Actress in a Supporting Role,Amy Adams,Doubt,https://kaway169.github.io/ci19/studio/collection/images/amyadams.gif
2009,Actress in a Supporting Role,Vera Farmiga,Up in the Air,https://kaway169.github.io/ci19/studio/collection/images/verafarmiga.jpg
2009,Actress in a Supporting Role,Anna Kendrick,Up in the Air,https://kaway169.github.io/ci19/studio/collection/images/annakendrick.jpg
2010,Actress in a Supporting Role,Melissa Leo,The Fighter,https://kaway169.github.io/ci19/studio/collection/images/melissaleo.jpg
2010,Actress in a Supporting Role,Amy Adams,The Fighter,https://kaway169.github.io/ci19/studio/collection/images/amyadams.gif
2010,Actress in a Supporting Role,Hailee Steinfeld,True Grit,https://kaway169.github.io/ci19/studio/collection/images/haileesteinfeld.jpg
2011,Actress in a Supporting Role,Jessica Chastain,The Help,https://kaway169.github.io/ci19/studio/collection/images/jessicachastain.jpg
2011,Actress in a Supporting Role,Melissa McCarthy,Bridesmaids,https://kaway169.github.io/ci19/studio/collection/images/melissamccarthy.jpg
